encounter_id,miss_distance_m,pc,lead_time_nocoop_min,lead_time_cooperative_min,lead_time_gain_min
ENC-48282-48289-552120,738.7,0.0002686355375416693,1391.0,4320.0,2929.0
ENC-61912-62735-507630,739.4,0.00026807429591379974,1391.0,4320.0,2929.0
ENC-63450-63495-323040,748.2,0.00026111338123185933,1386.0,4320.0,2934.0
ENC-59851-62504-441330,748.8,0.00026067443759822325,1385.0,4320.0,2935.0
ENC-65653-69656-551580,750.1,0.00025965747980702305,1385.0,4320.0,2935.0
ENC-48580-62763-562950,750.9,0.0002590506318253431,1384.0,4320.0,2936.0
ENC-58765-64110-499440,753.5,0.00025701057597882985,1383.0,4320.0,2937.0
ENC-52605-58844-515220,758.2,0.00025335208244438686,1380.0,4320.0,2940.0
ENC-68070-68093-312990,762.1,0.0002503666406909473,1377.0,4320.0,2943.0
ENC-65858-65871-343020,762.6,0.00025002667097516506,1377.0,4320.0,2943.0
ENC-55586-59565-394200,763.8,0.00024907565521113385,1376.0,4320.0,2944.0
ENC-66946-69823-487200,768.3,0.00024565086656620007,1373.0,4320.0,2947.0
ENC-65743-65752-262800,770.5,0.00024404963483468336,1372.0,4320.0,2948.0
ENC-65277-65654-364710,774.2,0.0002412700971550186,1370.0,4320.0,2950.0
ENC-66558-66585-372390,774.6,0.00024092359450517747,1369.0,4320.0,2951.0
ENC-57124-59869-322110,775.2,0.00024053352561724092,1369.0,4320.0,2951.0
ENC-62303-62312-346920,775.3,0.00024042474121822226,1369.0,4320.0,2951.0
ENC-52287-60262-602790,779.5,0.00023734575548125134,1366.0,4320.0,2954.0
ENC-52380-59387-554730,784.6,0.00023352960217882572,1363.0,4320.0,2957.0
ENC-68144-69479-469710,785.0,0.00023324235687434373,1363.0,4320.0,2957.0
ENC-62570-63479-310230,793.1,0.0002274084025073594,1358.0,4320.0,2962.0
ENC-66615-68012-333660,794.3,0.0002265092707036384,1357.0,4320.0,2963.0
ENC-58120-58515-363150,795.5,0.0002256569427261797,1356.0,4320.0,2964.0
ENC-62923-67642-326400,798.6,0.00022344708545211038,1354.0,4320.0,2966.0
ENC-65861-65878-557310,799.5,0.00022282082136326837,1353.0,4320.0,2967.0
ENC-56828-59889-491880,802.0,0.00022098549831176881,1352.0,4320.0,2968.0
ENC-57700-58601-338490,803.2,0.00022016597211144064,1351.0,4320.0,2969.0
ENC-68672-68729-284460,805.4,0.00021859198238868656,1349.0,4320.0,2971.0
ENC-62738-64387-452730,807.2,0.00021736881570978524,1348.0,4320.0,2972.0
ENC-68222-68677-415620,812.1,0.00021393184598854874,1345.0,4320.0,2975.0
